Common Name,Scientific Name
Potato,Solanum tuberosum
Carrot,Daucus carota
Onion,Allium cepa
Garlic,Allium sativum
Lettuce,Lactuca sativa
Spinach,Spinacia oleracea
Broccoli,Brassica oleracea var. italica
Cucumber,Cucumis sativus
Zucchini,Cucurbita pepo
Pumpkin,Cucurbita maxima
Bell Pepper,Capsicum annuum
Corn,Zea mays
Sunflower,Helianthus annuus
Tulip,Tulipa
Daffodil,Narcissus
Orchid,Orchidaceae
Lily,Lilium
Marigold,Tagetes
Pansy,Viola tricolor
Geranium,Pelargonium
Begonia,Begonia
Impatiens,Impatiens
Petunia,Petunia
Zinnia,Zinnia elegans
Chrysanthemum,Chrysanthemum
Carnation,Dianthus caryophyllus
Aloe Vera,Aloe vera
Jade Plant,Crassula ovata
Cactus,Cactaceae
Christmas Cactus,Schlumbergera
Money Tree,Pachira aquatica
Bamboo,Bambusoideae
Lucky Bamboo,Dracaena sanderiana
English Ivy,Hedera helix
Fern,Polypodiopsida
Palm,Arecaceae
Hibiscus,Hibiscus
Jasmine,Jasminum
Gardenia,Gardenia jasminoides
Azalea,Rhododendron
Camellia,Camellia
Magnolia,Magnolia
Wisteria,Wisteria
Bougainvillea,Bougainvillea
Rosemary,Salvia rosmarinus
Thyme,Thymus vulgaris
Oregano,Origanum vulgare
Cilantro,Coriandrum sativum
Sage,Salvia officinalis
Chives,Allium schoenoprasum
Dill,Anethum graveolens
Cannabis,Cannabis sativa
Marijuana,Cannabis sativa
Weed,Cannabis sativa
Hemp,Cannabis sativa
Oak,Quercus
Maple,Acer
Pine,Pinus
Birch,Betula
Willow,Salix
Ficus,Ficus
Croton,Codiaeum variegatum
Dracaena,Dracaena
Calathea,Calathea
Prayer Plant,Maranta leuconeura
Chinese Evergreen,Aglaonema
Dieffenbachia,Dieffenbachia
Anthurium,Anthurium
Bromeliad,Bromeliaceae
Hosta,Hosta
Clover,Trifolium
Dandelion,Taraxacum
Grass,Poaceae
Fig,Ficus carica
Olive,Olea europaea
Pomegranate,Punica granatum
Kiwi,Actinidia deliciosa
Papaya,Carica papaya
Guava,Psidium guajava
Passion Fruit,Passiflora edulis
Dragon Fruit,Selenicereus undatus
Lychee,Litchi chinensis
Persimmon,Diospyros kaki
Apricot,Prunus armeniaca
Nectarine,Prunus persica var. nucipersica
Grapefruit,Citrus paradisi
Tangerine,Citrus reticulata
Mandarin,Citrus reticulata
Clementine,Citrus clementina
Cranberry,Vaccinium macrocarpon
Gooseberry,Ribes uva-crispa
Elderberry,Sambucus nigra
Mulberry,Morus
Asparagus,Asparagus officinalis
Celery,Apium graveolens
Cabbage,Brassica oleracea var. capitata
Cauliflower,Brassica oleracea var. botrytis
Brussels Sprouts,Brassica oleracea var. gemmifera
Kale,Brassica oleracea var. sabellica
Artichoke,Cynara cardunculus var. scolymus
Eggplant,Solanum melongena
Squash,Cucurbita
Beet,Beta vulgaris
Radish,Raphanus sativus
Turnip,Brassica rapa subsp. rapa
Sweet Potato,Ipomoea batatas
Yam,Dioscorea
Ginger,Zingiber officinale
Turmeric,Curcuma longa
Leek,Allium ampeloprasum
Shallot,Allium cepa var. aggregatum
Green Onion,Allium fistulosum
Scallion,Allium fistulosum
Bok Choy,Brassica rapa subsp. chinensis
Arugula,Eruca vesicaria
Watercress,Nasturtium officinale
Endive,Cichorium endivia
Radicchio,Cichorium intybus
Swiss Chard,Beta vulgaris subsp. vulgaris
Collard Greens,Brassica oleracea var. viridis
Mustard Greens,Brassica juncea
Fennel,Foeniculum vulgare
Horseradish,Armoracia rusticana
Wasabi,Eutrema japonicum
Jalapeno,Capsicum annuum 'Jalapeño'
Habanero,Capsicum chinense
Cayenne,Capsicum annuum 'Cayenne'
Paprika,Capsicum annuum
Chili Pepper,Capsicum
Hot Pepper,Capsicum
Bay Leaf,Laurus nobilis
Tarragon,Artemisia dracunculus
Marjoram,Origanum majorana
Lemongrass,Cymbopogon citratus
Bay Tree,Laurus nobilis
Laurel,Laurus nobilis
Chamomile,Matricaria chamomilla
Echinacea Purple Coneflower,Echinacea purpurea
Valerian,Valeriana officinalis
St Johns Wort,Hypericum perforatum
Ginseng,Panax
Licorice,Glycyrrhiza glabra
Peppermint,Mentha piperita
Spearmint,Mentha spicata
Catnip,Nepeta cataria
Lemon Balm,Melissa officinalis
Stevia,Stevia rebaudiana
Saffron,Crocus sativus
Vanilla,Vanilla planifolia
Cinnamon,Cinnamomum verum
Nutmeg,Myristica fragrans
Cardamom,Elettaria cardamomum
Clove,Syzygium aromaticum
Black Pepper,Piper nigrum
Coffee,Coffea arabica
Tea,Camellia sinensis
Cocoa,Theobroma cacao
Chocolate,Theobroma cacao
Cotton,Gossypium
Tobacco,Nicotiana tabacum
Hops,Humulus lupulus
Barley,Hordeum vulgare
Wheat,Triticum aestivum
Rice,Oryza sativa
Oats,Avena sativa
Rye,Secale cereale
Soybean,Glycine max
Peanut,Arachis hypogaea
Almond,Prunus dulcis
Walnut,Juglans regia
Pecan,Carya illinoinensis
Cashew,Anacardium occidentale
Pistachio,Pistacia vera
Hazelnut,Corylus avellana
Chestnut,Castanea
Macadamia,Macadamia
